date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:36	30763/30763	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2010:20:30%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index1376.html	(from )
14:06:37	134/134	---MCZ	200	added ('OK')	text/plain	date:Fri,%2021%20Oct%202022%2001:56:24%20GMT	http://kamleshyadav.com/robots.txt		(from )
14:06:37	23848/23848	---MCZ	200	added ('OK')	text/css	date:Sat,%2026%20Nov%202022%2006:37:28%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/animate.css	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/animate.css	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:06:38	11418/11418	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202017%2018:56:48%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/fonts.css	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/fonts.css	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:06:42	155850/155850	---MCZ	200	added ('OK')	text/css	date:Sat,%2026%20Nov%202022%2009:25:32%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/bootstrap.min.css	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/bootstrap.min.css	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:06:42	31000/31000	---MCZ	200	added ('OK')	text/css	date:Sun,%2010%20Sep%202017%2010:10:28%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/font-awesome.css	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/font-awesome.css	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:06:42	6951/6951	---MCZ	200	added ('OK')	text/css	date:Tue,%2006%20Jun%202017%2015:41:48%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/magnific-popup.css	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/magnific-popup.css	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:06:42	2936/2936	---MCZ	200	added ('OK')	text/css	date:Sat,%2026%20Nov%202022%2006:37:54%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/owl.carousel.min.css	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/owl.carousel.min.css	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:06:43	936/936	---MCZ	200	added ('OK')	text/css	date:Sat,%2026%20Nov%202022%2009:25:40%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/owl.theme.default.min.css	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/owl.theme.default.min.css	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:06:43	36532/36532	---MCZ	200	added ('OK')	text/css	date:Sat,%2026%20Nov%202022%2006:53:24%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/style.css	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/style.css	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
